max_length,learning_rate,batch_size,epochs,treshold,Categories,Subcategories,cs_Data Retention,cs_First Party Collection/Use,cs_Policy Change,cs_Third Party Sharing/Collection,"cs_User Access, Edit and Deletion",cs_User Choice/Control,cv_Data Security,cv_Do Not Track,cv_First Party Collection/Use,cv_International and Specific Audiences,cv_Other,cv_Policy Change,cv_Third Party Sharing/Collection,"cv_User Access, Edit and Deletion",cv_User Choice/Control,cv_Data Retention
128,5e-06,16,3,0.5,55.18763796909492,0.1858736059479554,97.14285714285714,83.0385015608741,94.11764705882351,87.14652956298202,88.13559322033899,91.34615384615385,51.11111111111111,0.0,27.30093071354705,52.631578947368425,46.783625730994146,29.85074626865672,39.770114942528735,53.21100917431193,15.498154981549812,31.460674157303373
128,5e-06,16,6,0.5,77.9783393501805,57.267623206487855,100.0,85.49172346640701,94.11764705882351,87.96895213454073,90.0,90.82125603864736,35.29411764705882,33.33333333333333,27.643979057591626,71.42857142857143,78.84615384615384,52.3076923076923,37.300613496932506,52.17391304347827,17.647058823529417,35.0
128,5e-06,16,9,0.5,82.6388888888889,67.14364336818932,100.0,85.68608094768017,94.11764705882351,88.4864165588616,90.0,90.82125603864736,33.80281690140845,40.0,26.58227848101265,82.6086956521739,81.30841121495327,54.54545454545456,38.655462184873954,59.34065934065935,10.0,29.166666666666664
128,1e-05,16,3,0.5,77.12177121771218,49.63696369636963,100.0,84.53815261044176,94.11764705882351,87.79840848806366,83.0188679245283,90.82125603864736,39.43661971830985,0.0,27.61506276150628,74.4186046511628,75.39267015706808,30.303030303030305,40.642939150401844,51.85185185185186,22.660098522167488,26.66666666666667
128,1e-05,16,6,0.5,83.33333333333333,71.1970726607423,100.0,86.20037807183365,94.11764705882351,88.88888888888891,90.0,90.82125603864736,37.142857142857146,0.0,26.919032597266035,84.44444444444444,80.36529680365298,43.33333333333334,40.23121387283236,53.65853658536586,4.651162790697675,36.66666666666666
128,1e-05,16,9,0.5,83.44370860927151,76.01402103154733,100.0,87.52436647173491,94.11764705882351,90.41769041769042,90.0,91.34615384615385,38.23529411764706,50.0,40.6015037593985,89.36170212765957,78.26086956521739,43.33333333333334,43.820224719101105,54.320987654320994,14.893617021276595,25.92592592592593
128,2e-05,16,3,0.5,81.66089965397923,67.15165081141578,100.0,85.0346878097126,94.11764705882351,87.3202614379085,90.0,90.82125603864736,39.39393939393939,50.0,26.97576396206533,71.42857142857143,79.60199004975125,45.161290322580655,41.142857142857146,57.14285714285714,14.893617021276595,34.48275862068965
128,2e-05,16,6,0.5,83.03130148270179,77.21021611001963,100.0,86.50190114068441,94.11764705882351,89.79089790897909,90.0,90.82125603864736,39.39393939393939,50.0,41.04967197750703,93.87755102040815,79.20792079207921,60.86956521739131,43.2,50.0,14.893617021276595,31.11111111111111
128,2e-05,16,9,0.5,84.47999999999998,79.86952469711092,100.0,87.1031746031746,94.11764705882351,90.21601016518423,90.0,93.89671361502346,44.444444444444464,50.0,50.12744265080713,93.87755102040815,80.0,54.54545454545456,48.23008849557522,56.179775280898895,20.725388601036283,31.818181818181817
512,5e-06,16,3,0.5,4.938271604938271,0.0,100.0,82.14285714285714,94.11764705882351,86.83181225554108,90.0,90.82125603864736,39.39393939393939,50.0,26.58227848101265,43.47826086956522,51.396648044692746,56.75675675675675,36.27329192546585,45.33333333333334,28.33333333333333,17.543859649122812
512,5e-06,16,6,0.5,59.83263598326361,31.714719271623675,100.0,83.41708542713567,94.11764705882351,86.83181225554108,90.0,90.82125603864736,39.39393939393939,50.0,30.873786407766985,43.47826086956522,78.2178217821782,61.764705882352935,40.642939150401844,53.48837209302327,24.413145539906093,16.666666666666664
